Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2012,236.942,242.663,253.599,255.736,250.306,244.167,239.972,250.306,256.332,250.523,238.946,233.473,247.235,244.925
2013,234.624,248.146,249.565,244.757,247.805,251.921,251.370,250.011,248.513,238.524,233.136,234.542,246.136,242.683
2014,239.551,242.041,250.543,252.717,255.982,259.858,257.907,250.951,247.077,234.745,221.844,209.785,250.115,237.052
2015,192.619,196.597,204.731,203.715,214.330,220.861,219.852,213.248,201.641,194.501,189.267,183.378,205.476,200.315
2016,180.171,172.061,179.017,185.652,192.673,200.035,195.940,193.524,195.852,194.786,191.402,193.306,184.935,194.135
2017,199.608,198.195,198.597,202.869,203.132,204.646,202.554,205.894,215.711,207.290,209.383,206.598,201.175,207.905
2018,210.663,213.519,212.554,218.830,226.810,229.137,227.107,226.939,226.165,225.757,215.910,205.905,218.586,221.297
2019,200.563,202.740,211.724,222.499,225.773,221.373,222.492,216.978,215.418,216.351,214.636,212.982,214.112,216.476
2020,213.043,208.354,199.573,183.081,183.076,193.379,197.665,197.362,198.858,196.458,194.388,198.155,196.751,197.148
2021,205.273,213.277,225.861,229.116,235.339,240.720,244.800,246.639,248.228,255.338,259.100,256.207,224.931,251.719
2022,260.653,267.771,298.246,298.469,316.761,340.917,325.407,305.372,297.343,,,,297.136,
