Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2012,232.666,232.486,232.792,233.234,233.339,233.563,233.630,234.156,234.298,234.878,234.896,235.390,233.013,234.541
2013,236.341,236.301,236.332,236.841,236.526,236.792,237.001,237.406,237.522,237.871,237.641,237.869,236.522,237.552
2014,238.872,239.608,240.398,241.337,242.344,242.326,243.034,243.811,244.630,245.166,245.192,245.976,240.814,244.635
2015,246.538,246.680,246.045,246.121,246.187,246.680,247.003,247.671,248.632,249.052,248.306,247.903,246.375,248.095
2016,248.631,248.800,247.978,248.413,247.860,247.482,247.554,247.719,247.917,248.073,247.435,247.313,248.194,247.669
2017,248.242,248.791,249.165,249.739,250.016,249.653,250.214,250.493,250.993,251.364,250.871,251.238,249.268,250.862
2018,252.361,252.266,252.370,253.209,253.098,253.231,253.746,254.077,254.393,254.358,254.379,255.210,252.756,254.361
2019,256.417,257.222,257.724,257.708,258.110,258.064,258.274,258.410,258.943,259.632,259.467,259.823,257.541,259.092
2020,261.057,261.876,262.708,266.757,268.439,269.770,268.863,269.079,269.163,269.828,269.069,270.023,265.101,269.338
2021,270.938,271.363,271.812,273.090,274.212,276.206,278.127,279.135,281.506,284.205,285.507,286.966,272.937,282.574
2022,289.772,292.794,295.728,298.711,302.038,305.041,308.532,310.875,313.142,,,,297.347,
