Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2012,290.762,305.076,329.780,335.742,323.604,303.747,295.498,316.859,329.898,322.934,298.131,285.606,314.785,308.154
2013,286.417,315.243,319.523,307.814,310.352,312.212,310.886,309.355,305.299,290.306,280.742,282.773,308.594,296.560
2014,286.607,289.814,304.464,315.335,317.434,318.334,313.514,300.640,294.222,275.729,251.172,223.404,305.331,276.447
2015,185.142,194.883,215.442,215.461,238.170,244.226,243.736,230.513,207.239,199.077,190.701,179.496,215.554,208.460
2016,171.574,154.564,170.356,185.808,198.011,206.681,195.243,189.375,193.817,197.357,192.522,195.915,181.166,194.038
2017,206.360,201.957,204.217,212.424,209.441,205.881,201.173,209.000,231.182,218.591,224.227,216.781,206.713,216.826
2018,223.806,227.420,226.872,240.962,255.096,255.885,252.232,251.367,252.216,253.793,235.381,212.152,238.340,242.857
2019,201.194,206.749,225.282,248.499,254.551,242.043,244.000,233.625,231.496,235.168,232.575,228.857,229.720,234.287
2020,227.010,218.373,202.205,168.891,168.528,185.422,194.397,194.449,195.888,192.792,187.609,193.990,195.072,193.188
2021,207.406,221.689,247.652,252.603,263.170,268.979,275.656,277.448,278.338,288.501,296.571,290.185,243.583,284.450
2022,290.416,305.959,366.499,362.802,391.262,430.142,396.952,348.593,328.918,,,,357.847,
