Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2012,227.237,227.865,228.735,229.303,229.602,229.879,229.893,230.196,230.780,231.276,231.263,231.033,228.770,230.740
2013,231.612,232.432,233.052,233.236,233.462,233.640,233.792,234.258,234.782,235.162,235.243,235.000,232.906,234.706
2014,235.367,236.075,236.913,237.509,238.029,238.157,238.138,238.296,238.841,239.413,239.248,238.775,237.008,238.785
2015,239.248,240.083,241.067,241.802,242.119,242.354,242.436,242.651,243.359,243.985,244.075,243.779,241.112,243.381
2016,244.528,245.680,246.358,246.992,247.544,247.794,247.744,248.278,248.731,249.218,249.227,249.134,246.483,248.722
2017,250.083,251.143,251.290,251.642,251.835,252.014,251.936,252.460,252.941,253.638,253.492,253.558,251.335,253.004
2018,254.638,255.783,256.610,257.025,257.469,257.697,257.867,258.012,258.429,259.063,259.105,259.083,256.537,258.593
2019,260.122,261.114,261.836,262.332,262.590,263.177,263.566,264.169,264.522,265.059,265.108,264.935,261.862,264.560
2020,266.004,267.268,267.312,266.089,265.799,266.302,267.703,268.756,269.054,269.328,269.473,269.226,266.462,268.923
2021,269.755,270.696,271.713,273.968,275.893,278.218,279.146,279.507,279.884,281.617,282.754,283.908,273.374,281.136
2022,285.996,288.059,289.305,290.846,292.506,294.680,295.646,297.178,298.442,,,,290.232,
