Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2012,220.497,221.802,223.314,224.275,223.356,223.004,222.667,223.919,225.052,224.504,223.404,223.109,223.242,222.708,223.776
2013,223.933,225.874,226.628,226.202,226.289,227.148,227.548,227.837,227.876,227.420,226.811,227.082,226.721,226.012,227.429
2014,227.673,228.664,230.095,231.346,231.762,232.269,232.013,231.611,231.762,231.131,229.845,228.451,230.552,230.302,230.802
2015,226.855,227.944,229.337,229.957,230.886,232.026,231.719,231.260,230.913,230.860,230.422,229.581,230.147,229.501,230.793
2016,229.469,229.646,230.977,231.975,232.906,233.838,233.292,233.561,234.069,234.337,234.029,234.204,232.692,231.469,233.915
2017,235.492,236.052,236.154,236.728,236.774,237.346,236.942,237.892,239.649,239.067,238.861,238.512,237.456,236.424,238.487
2018,239.772,241.123,241.595,242.486,243.279,243.770,243.776,243.605,243.640,244.163,243.484,242.150,242.737,242.004,243.470
2019,242.547,243.856,245.554,246.847,246.667,246.515,247.250,246.953,246.891,247.423,247.385,247.289,246.265,245.331,247.199
2020,248.005,248.412,248.136,246.254,245.696,247.223,248.619,249.639,250.193,250.542,250.255,250.693,248.639,247.288,249.990
2021,252.067,253.386,255.319,257.207,259.343,261.668,263.013,263.728,264.593,267.160,268.360,269.263,261.259,256.498,266.020
2022,271.634,274.688,278.598,279.879,283.307,287.427,287.608,287.168,287.656,,,,,279.256,
