CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Series Id:,CUUR0400SA0,,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,,
Series Title:,"All items in West urban, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,,
Area:,West,,,,,,,,,,,,,,
Item:,All items,,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,,
Years:,2012 to 2022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2012,228.980,229.995,232.039,232.561,233.053,232.701,231.893,233.001,234.083,234.966,233.206,232.029,232.376,231.555,233.196
2013,232.759,234.595,235.511,235.488,235.979,236.227,236.341,236.591,237.146,237.000,236.153,236.096,235.824,235.093,236.555
2014,236.707,237.614,239.092,239.808,241.350,241.616,241.850,241.660,241.920,241.650,240.220,239.095,240.215,239.365,241.066
2015,238.318,239.748,241.690,242.302,244.227,244.332,245.040,244.737,244.257,244.341,243.749,243.434,243.015,241.770,244.260
2016,244.600,244.821,245.404,246.589,247.855,248.228,248.375,248.498,249.234,249.897,249.448,249.516,247.705,246.250,249.161
2017,250.814,252.252,252.949,253.806,254.380,254.469,254.708,255.282,256.504,257.223,257.126,257.347,254.738,253.112,256.365
2018,258.638,259.986,260.994,262.037,263.240,263.732,263.971,264.395,265.105,266.195,265.658,265.209,263.263,261.438,265.089
2019,265.624,266.215,267.370,269.522,270.880,270.957,271.029,271.264,272.102,273.524,273.128,272.584,270.350,268.428,272.272
2020,273.340,274.412,273.995,272.913,273.062,274.155,275.597,276.443,276.422,276.876,276.875,276.593,275.057,273.646,276.468
2021,277.238,278.702,280.625,283.507,285.793,288.263,289.863,290.393,291.053,293.397,294.986,296.102,287.494,282.355,292.632
2022,298.705,301.158,305.082,307.145,309.645,313.496,313.951,314.013,315.094,,,,,305.872,
